ID,CallDate,"Q3-Overall, how
satisfied are
you with this
experience
with the
Seattle Police
Department -
from calling 9-
1-1 on to all
contacts you
had with the
Police
Department
as a result of
that call?","Q4-How satisfied
are you with
the assistance
provided by
the 9-1-1
operator over
the
telephone?","Q5.1-The officer
provided you
the
information
you needed.","Q5.2-The officer
clearly
explained
procedures
and
requirements","Q5.3-The officer
was
professional
and
courteous.","Q5.4-The officer
told you what
would happen
next.","Q5.5-The officer
gave you tips
on preventing
future crimes.","Q5.6-The officer
provided
information
about other
crimes or
problems in
your area.","Q5.7-The officer
referred you
to the Seattle
Police
Department
website for
crime
prevention
tips or
information on
other crimes
in your area.","Q5.8-The officer
provided the
assistance
you needed.","Q5.9-The officer
listened to
your
concerns.","Q5.10-The officer
answered
your
questions.","Q6.1-The
Department is
available
when you
need them.","Q6.2-The
Department is
a good
resource for
information
about
preventing
crime.","Q6.3-The
Department
clearly
explains its
procedures
and
requirements.","Q6.4-Department
personnel are
professional
and
courteous.","Q6.5-The
Department
focuses on
the public
safety issues
that concern
you.","Q6.6-The
Department
understands
the issues
affecting your
neighborhood.","Q6.7-If you wanted
to have input
into decisions
about policing
in Seattle, the
Department
would listen to
you.","Q7.1-Overall, the
police in your
neighborhood
do a good job.","Q7.2-Police in your
neighborhood
are
professional
and
courteous.","Q7.3-Police in your
neighborhood
are a good
resource for
dealing with
crimes or
other local
problems.","Q7.4-The police in
your
neighborhood
help with
traffic safety
such as
speed
enforcement.","Q7.5-The police in
your
neighborhood
help keep
your local
parks safe.","Q7.6-The police in
your
neighborhood
focus on the
public safety
issues that
concern you.","Q8-How satisfied
are you with
the speed
with which
your call to 9-
1-1 was
answered by
the operator?","Q9-When you
made your
call to 9-1-1,
did your call
go through to
an operator
the first time
you dialed, or
did you get a
busy signal
and have to
dial 9-1-1
more than
once to reach
an operator?","Q10-What was the
problem with
reaching an
operator?","Q11-Counting the
number of
times you
dialed 9-1-1
and got a
busy signal,
how many
times
altogether did
you dial 9-1-1
to reach an
operator?","Q12-Overall, how
safe do you
personally
feel in
Seattle?","Q13-Did the
incident that
caused you to
call 9-1-1
make you feel
more safe
than before,
less safe, or
about as safe
as before the
incident
occurred?","Q14-Did the
service you
received from
the Seattle
Police
Department
as a result of
your call to 9-
1-1 make you
feel more safe
than before,
less safe, or
do you feel
about as safe
now as before
you called 9-
1-1?","Q15-And, did the
contact you
had with the
Seattle Police
Department
as a result of
your call to 9-
1-1 make you
feel more
favorable
toward the
Seattle Police
Department,
less
favorable, or
do you feel
about the
same toward
the
Department
now as you
did be","Q16-Overall, how
safe do you
feel walking
alone in your
neighborhood
during the
day?","Q17-And, overall,
how safe do
you feel
walking alone
in your
neighborhood
at night?","Q19-Would you
like to have
someone from
the Police
Department
contact you
so you can
discuss
further the
service you
received after
your call to 9-
1-1?","Q21-Have you
ever been a
victim of crime
in Seattle and
NOT reported
it to the
Seattle Police
Department?","Q22-Was this
during the
past year, 2 to
5 years ago,
or more than
5 years ago?",Wave,"Q11.1.17-First hand
experience
(for example,
as a witness
or a victim)","Q11.2.17-The
experiences
of family,
friends, or
coworkers",Q11.3.17-Television,Q11.4.17-Radio,"Q11.5.17-Daily
newspapers
(for example,
the Seattle
Times or
Seattle PI
online)","Q11.6.17-Neighborhood
newspapers
(for example,
the North
Seattle
Herald-
Outlook)","Q11.7.17-The SPD
Blotter on the
Department's
Web page","Q11.8.17-Local Blogs
(e.g., West
Seattle Blog)","Q11.9.17-News outlets
on the
Internet","Q11.10.17-Email or text
messages","Q11.11.17-The Seattle
Police
Department’s
Facebook
page or
Twitter feeds","Q11.12.17-Other social
media such
as Facebook
or Twitter –
but not SPD’s","Q5.8.2015-The officer
told you how
to get in touch
with him or
her.","Q7.4.2015-The police in
your
neighborhood
help control
speeding and
other traffic
safety
problems.","Q6.5.13-The
Department is
a good
resource for
dealing with
crimes or
other
problems in
your
neighborhood.","Q8.11.13-Social media
such as
Facebook or
Twitter-Q8.11.13",Q8.8.1-The Internet,Q8.9.1-Email,"Q8.10.1-Text
Messages",Q8.1orig-Email,"Q8.2orig-Text
messaging","Q8.3orig-The Seattle
Police
Department
Web site","Q8.4orig-U.S. mail sent
to your home","Q8.5orig-Neighborhood
meetings with
the
Department","Q8.6orig-Block watch
meetings","Q8.7orig-Newspaper
articles","Q8.8orig-Radio or TV
news stories","Q6.06-After your
initial visit with
an officer, did
a detective
visit or contact
you to follow
up on your
case?","Q7.06.1-The detective
provided you
the
information
you needed","Q7.06.2-The detective
clearly
explained
procedures
and
requirements","Q7.06.3-The detective
was
professional
and courteous","Q7.06.4-The detective
told you what
would happen
next","Q7.06.5-The detective
gave you tips
on preventing
future crimes","Q7.06.6-The detective
provided
information
about other
crimes or
problems in
your area","Q8.06-Altogether,
how many
times did you
see or talk
with a police
officer or
detective in
person about
this matter?",source01,filter_$
121,04/18/2006 12:00:00 AM,5,3,4,5,5,7,7,7,,,,,5,5,5,5,4,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,2,,,,,,,1,0,0
138,04/18/2006 12:00:00 AM,5,5,5,5,5,5,5,5,,,,,4,4,6,5,6,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,2,,,,,,,1,0,0
139,04/18/2006 12:00:00 AM,3,5,4,4,4,4,7,4,,,,,4,4,4,4,4,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,2,,,,,,,1,0,0
140,04/18/2006 12:00:00 AM,5,5,5,5,5,4,7,7,,,,,4,7,4,5,7,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,7,,,,,,,,,,,,,2,,,,,,,1,0,0
161,04/18/2006 12:00:00 AM,2,5,4,2,4,2,5,4,,,,,5,5,5,5,5,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,2,,,,,,,1,0,0
176,04/18/2006 12:00:00 AM,3,4,1,2,5,2,2,2,,,,,2,7,2,4,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,1,0,0
177,04/18/2006 12:00:00 AM,4,2,4,5,5,5,2,2,,,,,4,3,3,3,3,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,1,0,0
178,04/18/2006 12:00:00 AM,4,5,5,5,5,5,5,6,,,,,5,4,5,5,5,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,2,,,,,,,2,0,0
179,04/18/2006 12:00:00 AM,5,5,5,5,5,2,5,2,,,,,5,5,5,5,5,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,2,,,,,,,1,0,0
180,04/18/2006 12:00:00 AM,4,4,5,5,5,5,5,5,,,,,4,5,5,5,5,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,1,5,5,5,5,5,5,2,0,0
186,04/18/2006 12:00:00 AM,5,5,4,4,4,4,4,4,,,,,4,5,4,4,3,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,1,0,0
187,04/18/2006 12:00:00 AM,5,5,5,4,5,5,4,4,,,,,4,4,4,4,4,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,2,,,,,,,3,0,0
195,04/18/2006 12:00:00 AM,3,4,4,4,4,4,2,2,,,,,4,4,4,4,4,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,2,,,,,,,1,0,0
211,04/18/2006 12:00:00 AM,4,4,5,5,4,5,2,2,,,,,4,2,2,5,3,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,2,,,,,,,1,0,0
212,04/18/2006 12:00:00 AM,4,1,4,4,5,4,7,7,,,,,4,4,4,4,4,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,2,,,,,,,1,0,0
213,04/18/2006 12:00:00 AM,5,5,4,5,5,5,5,7,,,,,4,4,4,5,4,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,2,,,,,,,2,0,0
214,04/18/2006 12:00:00 AM,5,5,4,4,5,4,5,5,,,,,5,5,4,5,4,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,2,,,,,,,1,0,
215,04/18/2006 12:00:00 AM,5,5,5,5,5,4,3,4,,,,,4,4,5,5,4,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,2,,,,,,,1,0,0
216,04/18/2006 12:00:00 AM,4,4,4,4,4,4,4,4,,,,,4,4,4,4,4,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,1,4,4,4,4,4,4,1,0,
221,04/18/2006 12:00:00 AM,4,5,4,4,4,4,2,2,,,,,4,4,4,4,4,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,2,,,,,,,2,0,0
222,04/18/2006 12:00:00 AM,5,5,4,5,5,4,5,5,,,,,2,4,4,4,4,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,2,,,,,,,1,0,1
